"gene"	"avg_log2fc"	"comb_adjpval"
"312"	"YBR103W"	0.354082274345735	1
"313"	"YBR104W"	0.0283211873655528	1
"314"	"YBR105C"	-0.0791713465523838	1
"315"	"YBR106W"	-0.00825945750649381	1
"316"	"YBR107C"	-0.0326516335795147	1
"317"	"YBR108W"	0.324716739167476	1
"318"	"YBR109C"	-0.0485598830948029	1
"319"	"YBR110W"	0.243059417105901	1
"320"	"YBR111C"	-0.196357402582649	1
"321"	"YBR112C"	-0.306085461817909	1
"322"	"YBR114W"	0.049311516205601	0.999968401603002
"323"	"YBR115C"	-0.0947427820007774	1
"324"	"YBR117C"	-0.00921976282645409	1
"325"	"YBR118W"	0.190576293032788	1
"326"	"YBR119W"	0.0396012586721243	1
"327"	"YBR120C"	-0.0772231353446598	1
"328"	"YBR121C"	0.27556075780137	1
"329"	"YBR122C"	0.132389822400221	1
"330"	"YBR123C"	-0.0863283386142135	1
"331"	"YBR125C"	0.0628118127584619	1
"332"	"YBR126C"	-0.19737002472661	1
"333"	"YBR126W-A"	-0.0970283563169221	1
"334"	"YBR127C"	-0.0357037540016535	1
"335"	"YBR128C"	-0.0142763036446936	1
"336"	"YBR129C"	-0.181745140760285	1
"337"	"YBR130C"	0.114854884235999	1
"338"	"YBR132C"	-0.0370114961691449	1
"339"	"YBR133C"	-0.209369939017877	1
"340"	"YBR135W"	0.094230188894932	1
"341"	"YBR136W"	-0.132688481283988	1
"342"	"YBR137W"	0.00968345879710754	1
"343"	"YBR138C"	0.162458254215082	1
"344"	"YBR139W"	0.435811043629108	0.999999999087477
"345"	"YBR140C"	-0.0705804208545551	1
"346"	"YBR141C"	0.202666085446542	1
"347"	"YBR143C"	-0.133690929784493	1
"348"	"YBR145W"	0.0211453291781702	0.999999999087477
"349"	"YBR146W"	0.213598563029102	0.999999999999956
"350"	"YBR147W"	0.375010509345265	1
"351"	"YBR148W"	-0.104708950131224	1
"352"	"YBR149W"	0.31647930326914	1
"353"	"YBR150C"	0.0456372073333199	1
"354"	"YBR151W"	0.315187853280631	0.999920685474744
"355"	"YBR152W"	-0.011243253741159	1
"356"	"YBR153W"	-0.0490445125841701	1
"357"	"YBR154C"	0.210945154240351	1
"358"	"YBR155W"	-0.424186378707222	0.999999999999956
"359"	"YBR156C"	-0.112493327166642	1
"360"	"YBR157C"	0.457198047724458	0.999999999832734
"361"	"YBR158W"	-0.0422821024271257	1
"362"	"YBR159W"	-0.177848305891272	1
"363"	"YBR160W"	-0.160120723437089	1
"364"	"YBR161W"	-0.229335096874363	1
"365"	"YBR162C"	-0.226845371001184	1
"366"	"YBR162W-A"	-0.373835702395558	1
"367"	"YBR163W"	0.460013900668184	1
